name,x,y,w,h,row,col,A,B,C
A1_B2_C3.png,0,0,2000,1732,0,0,1,2,3
A1_B2_C4.png,2000,0,2000,1732,0,1,1,2,4
A1_B2_C8.png,4000,0,2000,1732,0,2,1,2,8
A1_B6_C3.png,6000,0,2000,1732,0,3,1,6,3
A1_B6_C4.png,8000,0,2000,1732,0,4,1,6,4
A1_B6_C8.png,10000,0,2000,1732,0,5,1,6,8
A1_B7_C3.png,12000,0,2000,1732,0,6,1,7,3
A1_B7_C4.png,14000,0,2000,1732,0,7,1,7,4
A1_B7_C8.png,16000,0,2000,1732,0,8,1,7,8
A5_B2_C3.png,0,1732,2000,1732,1,0,5,2,3
A5_B2_C4.png,2000,1732,2000,1732,1,1,5,2,4
A5_B2_C8.png,4000,1732,2000,1732,1,2,5,2,8
A5_B6_C3.png,6000,1732,2000,1732,1,3,5,6,3
A5_B6_C4.png,8000,1732,2000,1732,1,4,5,6,4
A5_B6_C8.png,10000,1732,2000,1732,1,5,5,6,8
A5_B7_C3.png,12000,1732,2000,1732,1,6,5,7,3
A5_B7_C4.png,14000,1732,2000,1732,1,7,5,7,4
A5_B7_C8.png,16000,1732,2000,1732,1,8,5,7,8
A9_B2_C3.png,0,3464,2000,1732,2,0,9,2,3
A9_B2_C4.png,2000,3464,2000,1732,2,1,9,2,4
A9_B2_C8.png,4000,3464,2000,1732,2,2,9,2,8
A9_B6_C3.png,6000,3464,2000,1732,2,3,9,6,3
A9_B6_C4.png,8000,3464,2000,1732,2,4,9,6,4
A9_B6_C8.png,10000,3464,2000,1732,2,5,9,6,8
A9_B7_C3.png,12000,3464,2000,1732,2,6,9,7,3
A9_B7_C4.png,14000,3464,2000,1732,2,7,9,7,4
A9_B7_C8.png,16000,3464,2000,1732,2,8,9,7,8
